car_ID,symboling,CarName,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,price
195,Safe,volvo 145e (sw),front,104.3,188.8,67.2,56.2,2912,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,23,12940
196,Safe,volvo 144ea,front,104.3,188.8,67.2,57.5,3034,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,23,13415
197,Safe,volvo 244dl,front,104.3,188.8,67.2,56.2,2935,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,24,15985
198,Safe,volvo 245,front,104.3,188.8,67.2,57.5,3042,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,24,16515
199,Safe,volvo 264gl,front,104.3,188.8,67.2,56.2,3045,NormalPerf,130,FuelInjected,3.62,3.15,7.5,162,5100,17,18420
200,Safe,volvo diesel,front,104.3,188.8,67.2,57.5,3157,NormalPerf,130,FuelInjected,3.62,3.15,7.5,162,5100,17,18950
201,Safe,volvo 145e (sw),front,109.1,188.8,68.9,55.5,2952,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,23,16845
202,Safe,volvo 144ea,front,109.1,188.8,68.8,55.5,3049,NormalPerf,141,FuelInjected,3.78,3.15,8.7,160,5300,19,19045
203,Safe,volvo 244dl,front,109.1,188.8,68.9,55.5,3012,HighPerf,173,FuelInjected,3.58,2.87,8.8,134,5500,18,21485
204,Safe,volvo 246,front,109.1,188.8,68.9,55.5,3217,HighPerf,145,FuelInjected,3.01,3.4,23,106,4800,26,22470
205,Safe,volvo 264gl,front,109.1,188.8,68.9,55.5,3062,NormalPerf,141,FuelInjected,3.78,3.15,9.5,114,5400,19,22625
